Timestamp,current,js_201_out,speed
143548510,73,0,0
143549513,5,0,0
143550512,63,0,0
143551515,5,0,0
143552514,-64,0,0
143553515,-52,0,0
143554510,17,0,0
143555509,5,0,0
143556515,73,0,0
143557514,486,0,0
143558516,-52,0,0
143559516,5,0,0
143560509,-6,0,0
143561517,73,0,0
143562511,5,0,0
143563524,5,0,0
143564513,63,0,0
143565515,17,0,0
143566517,5,0,0
143567511,-52,0,0
143568510,5,0,0
143569513,5,0,0
143570511,73,0,0
143571514,-64,0,0
143572513,73,0,0
143573516,73,0,0
143574510,-6,0,0
143575513,132,0,0
143576515,63,0,0
143577509,17,0,0
143578515,73,0,0
143579515,5,0,0
143580514,5,0,0
143581515,-64,0,0
143582514,-64,0,0
143583515,-64,0,0
143584539,-64,0,0
143585514,5,0,0
143586511,-64,0,0
143587510,63,0,0
143588511,-52,0,0
143589510,5,0,0
143590512,5,0,0
143591510,5,0,0
143592512,17,0,0
143593510,5,0,0
143594512,-52,0,0
143595511,5,0,0
143596516,5,0,0
143597510,5,0,0
143598516,5,0,0
143599510,28,0,0
143600517,-52,0,0
143601510,5,0,0
143602517,73,0,0
143603510,5,0,0
143604509,73,0,0
143605511,-133,0,0
143606512,-52,0,0
143607519,73,0,0
143608513,-120,0,0
143609515,5,0,0
143610513,73,0,0
143611515,5,0,0
143612513,63,0,0
143613516,120,0,0
143614514,-64,0,0
143615516,142,0,0
143616511,-52,0,0
143617513,-64,0,0
143618509,5,0,0
143619512,5,0,0
143620511,5,0,0
143621514,132,0,0
143622513,-64,0,0
143623515,73,0,0
143624515,5,0,0
143625517,73,0,0
143626511,-52,0,0
143627513,-52,0,0
143628513,5,0,0
143629526,5,0,0
143630510,132,0,0
143631513,5,0,0
143632511,73,0,0
143633514,17,0,0
143634513,5,0,0
143635515,5,0,0
143636510,5,0,0
143637512,17,0,0
143638511,5,0,0
143639514,-64,0,0
143640513,73,0,0
143641516,5,0,0
143642509,-52,0,0
143643516,63,0,0
143644510,279,0,0
143645515,5,0,0
143646512,-52,0,0
143647511,5,0,0
143648512,-52,0,0
143649511,5,0,0
143650512,63,0,0
143651525,5,0,0
143652513,5,0,0
143653515,-52,0,0
143654513,-133,0,0
143655515,-52,0,0
143656516,5,0,0
143657510,73,0,0
143658516,73,0,0
143659510,5,0,0
143660517,5,0,0
143661511,-64,0,0
143662517,-52,0,0
143663513,73,0,0
143664514,17,0,0
143665513,73,0,0
143666510,-64,0,0
143667516,5,0,0
143668510,63,0,0
143669517,-52,0,0
143670510,-52,0,0
143671517,-64,0,0
143672510,63,0,0
143673517,5,0,0
143674532,17,0,0
143675512,17,0,0
143676516,63,0,0
143677515,142,0,0
143678517,73,0,0
143679515,5,0,0
143680510,5,0,0
143681517,-64,0,0
143682511,5,0,0
143683511,-133,0,0
143684514,5,0,0
143685513,5,0,0
143686515,17,0,0
143687510,-52,0,0
143688517,5,0,0
143689511,5,0,0
143690510,5,0,0
143691513,-52,0,0
143692512,63,0,0
143693514,17,0,0
143694513,5,0,0
143695515,5,0,0
143696517,73,0,0
143697514,-52,0,0
143698516,17,0,0
143699515,17,0,0
143700510,-64,0,0
143701517,5,0,0
143702511,-133,0,0
143703510,5,0,0
143704513,-64,0,0
143705511,17,0,0
143706516,17,0,0
143707537,-109,0,0
143708509,-64,0,0
143709510,-52,0,0
143710516,-52,0,0
143711516,132,0,0
143712515,-52,0,0
143713516,-64,0,0
143714515,-120,0,0
143715516,73,0,0
143716510,-52,0,0
143717512,73,0,0
143718519,63,0,0
143719513,-64,0,0
143720512,5,0,0
143721513,5,0,0
143722512,17,0,0
143723514,-120,0,0
143724512,5,0,0
143725514,142,0,0
143726515,5,0,0
143727517,73,0,0
143728515,-52,0,0
143729509,5,0,0
143730511,-52,0,0
143731517,63,0,0
143732511,-189,0,0
143733509,5,0,0
143734510,5,0,0
143735516,5,0,0
143736513,5,0,0
143737512,73,0,0
143738513,5,0,0
143739512,17,0,0
143740514,-64,0,0
143741498,5,0,0
143742515,-52,0,0
143743514,-120,0,0
